[ 2026-03-26 16:35:36,733 ] 17 root - INFO - Initiate the Data Ingestion
[ 2026-03-26 16:35:42,358 ] 69 root - INFO - Performed train test split on dataframe!
[ 2026-03-26 16:35:42,358 ] 70 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-03-26 16:35:42,444 ] 77 root - INFO - Exported train & test data!!
[ 2026-03-26 16:35:42,445 ] 21 root - INFO - Data Initiation Completed
[ 2026-03-26 16:35:42,454 ] 25 root - INFO - Initiate the Data Validation
[ 2026-03-26 16:35:42,837 ] 27 root - INFO - Data Validation Completed
[ 2026-03-26 16:35:42,838 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-03-26 16:35:42,840 ] 65 root - INFO - Starting data transformation
[ 2026-03-26 16:35:42,945 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-03-26 16:35:42,945 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
