[ 2026-03-21 12:47:51,584 ] 16 root - INFO - Initiate the Data Ingestion
[ 2026-03-21 12:51:12,903 ] 69 root - INFO - Performed train test split on dataframe!
[ 2026-03-21 12:51:12,903 ] 70 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-03-21 12:51:12,939 ] 77 root - INFO - Exported train & test data!!
[ 2026-03-21 12:51:12,940 ] 20 root - INFO - Data Initiation Completed
[ 2026-03-21 12:51:12,943 ] 24 root - INFO - Initiate the Data Validation
[ 2026-03-21 12:51:13,034 ] 29 root - INFO - Required number of columns: 2
[ 2026-03-21 12:51:13,035 ] 30 root - INFO - DataFrame has columns: 30
[ 2026-03-21 12:51:13,035 ] 29 root - INFO - Required number of columns: 2
[ 2026-03-21 12:51:13,036 ] 30 root - INFO - DataFrame has columns: 30
