[ 2026-03-27 10:43:43,354 ] 19 root - INFO - Initiate the Data Ingestion
[ 2026-03-27 10:43:46,004 ] 69 root - INFO - Performed train test split on dataframe!
[ 2026-03-27 10:43:46,004 ] 70 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-03-27 10:43:46,067 ] 77 root - INFO - Exported train & test data!!
[ 2026-03-27 10:43:46,067 ] 23 root - INFO - Data Initiation Completed
[ 2026-03-27 10:43:46,081 ] 27 root - INFO - Initiate the Data Validation
[ 2026-03-27 10:43:46,349 ] 29 root - INFO - Data Validation Completed
[ 2026-03-27 10:43:46,350 ] 56 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-03-27 10:43:46,350 ] 58 root - INFO - Starting data transformation
[ 2026-03-27 10:43:46,446 ] 42 root - INFO - Entered get_data_transformer_object method of DataTransformation class
[ 2026-03-27 10:43:46,446 ] 45 root - INFO - Initialized KNNImputer with params: {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-03-27 10:43:46,474 ] 41 root - INFO - Enter the save object methos & mainutils class
[ 2026-03-27 10:43:46,478 ] 45 root - INFO - Exited saving object
[ 2026-03-27 10:43:46,478 ] 41 root - INFO - Enter the save object methos & mainutils class
[ 2026-03-27 10:43:46,484 ] 45 root - INFO - Exited saving object
[ 2026-03-27 10:43:46,485 ] 36 root - INFO - Data Transformation Started!!
[ 2026-03-27 10:43:46,486 ] 38 root - INFO - Model Training Started!
[ 2026-03-27 10:48:07,897 ] 41 root - INFO - Enter the save object methos & mainutils class
[ 2026-03-27 10:48:07,948 ] 45 root - INFO - Exited saving object
[ 2026-03-27 10:48:07,949 ] 137 root - INFO - Model Trainer Artifact: Model_Trainer_Artifact(trained_model_file_path='Artifacts\\03_27_2026_10_43_43\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.98998998998999, precision_score=0.9848635729934276, recall_score=0.9951700543368888), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9713574097135741, precision_score=0.9582309582309583, recall_score=0.9848484848484849))
[ 2026-03-27 10:48:07,953 ] 42 root - INFO - Model Training Artifact Created
