[ 2026-03-26 16:33:15,937 ] 17 root - INFO - Initiate the Data Ingestion
[ 2026-03-26 16:33:22,254 ] 69 root - INFO - Performed train test split on dataframe!
[ 2026-03-26 16:33:22,254 ] 70 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-03-26 16:33:22,331 ] 77 root - INFO - Exported train & test data!!
[ 2026-03-26 16:33:22,332 ] 21 root - INFO - Data Initiation Completed
[ 2026-03-26 16:33:22,340 ] 25 root - INFO - Initiate the Data Validation
[ 2026-03-26 16:33:22,626 ] 27 root - INFO - Data Validation Completed
[ 2026-03-26 16:33:22,627 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-03-26 16:33:22,657 ] 65 root - INFO - Starting data transformation
