[ 2026-03-27 10:21:39,738 ] 19 root - INFO - Initiate the Data Ingestion
[ 2026-03-27 10:21:42,486 ] 69 root - INFO - Performed train test split on dataframe!
[ 2026-03-27 10:21:42,486 ] 70 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-03-27 10:21:42,580 ] 77 root - INFO - Exported train & test data!!
[ 2026-03-27 10:21:42,581 ] 23 root - INFO - Data Initiation Completed
[ 2026-03-27 10:21:42,590 ] 27 root - INFO - Initiate the Data Validation
[ 2026-03-27 10:21:42,963 ] 29 root - INFO - Data Validation Completed
[ 2026-03-27 10:21:42,964 ] 56 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-03-27 10:21:42,965 ] 58 root - INFO - Starting data transformation
[ 2026-03-27 10:21:43,102 ] 42 root - INFO - Entered get_data_transformer_object method of DataTransformation class
[ 2026-03-27 10:21:43,102 ] 45 root - INFO - Initialized KNNImputer with params: {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-03-27 10:21:43,123 ] 41 root - INFO - Enter the save object methos & mainutils class
[ 2026-03-27 10:21:43,128 ] 45 root - INFO - Exited saving object
[ 2026-03-27 10:21:43,128 ] 41 root - INFO - Enter the save object methos & mainutils class
[ 2026-03-27 10:21:43,131 ] 45 root - INFO - Exited saving object
[ 2026-03-27 10:21:43,132 ] 36 root - INFO - Data Transformation Started!!
[ 2026-03-27 10:21:43,133 ] 38 root - INFO - Model Training Started!
