[ 2026-03-26 22:53:22,470 ] 18 root - INFO - Initiate the Data Ingestion
[ 2026-03-26 22:53:48,405 ] 69 root - INFO - Performed train test split on dataframe!
[ 2026-03-26 22:53:48,406 ] 70 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-03-26 22:53:48,489 ] 77 root - INFO - Exported train & test data!!
[ 2026-03-26 22:53:48,490 ] 22 root - INFO - Data Initiation Completed
[ 2026-03-26 22:53:48,518 ] 26 root - INFO - Initiate the Data Validation
[ 2026-03-26 22:53:48,876 ] 28 root - INFO - Data Validation Completed
[ 2026-03-26 22:53:48,877 ] 56 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-03-26 22:53:48,878 ] 58 root - INFO - Starting data transformation
[ 2026-03-26 22:53:48,996 ] 42 root - INFO - Entered get_data_transformer_object method of DataTransformation class
[ 2026-03-26 22:53:48,996 ] 45 root - INFO - Initialized KNNImputer with params: {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-03-26 22:53:49,017 ] 41 root - INFO - Enter the save object methos & mainutils class
[ 2026-03-26 22:53:49,021 ] 45 root - INFO - Exited saving object
[ 2026-03-26 22:53:49,021 ] 41 root - INFO - Enter the save object methos & mainutils class
[ 2026-03-26 22:53:49,024 ] 45 root - INFO - Exited saving object
[ 2026-03-26 22:53:49,026 ] 35 root - INFO - Data Transformation Started!!
[ 2026-03-26 22:53:49,026 ] 37 root - INFO - Model Training Started!
