[ 2026-03-26 16:41:51,629 ] 17 root - INFO - Initiate the Data Ingestion
[ 2026-03-26 16:41:56,124 ] 69 root - INFO - Performed train test split on dataframe!
[ 2026-03-26 16:41:56,124 ] 70 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-03-26 16:41:56,209 ] 77 root - INFO - Exported train & test data!!
[ 2026-03-26 16:41:56,211 ] 21 root - INFO - Data Initiation Completed
[ 2026-03-26 16:41:56,218 ] 25 root - INFO - Initiate the Data Validation
[ 2026-03-26 16:41:56,598 ] 27 root - INFO - Data Validation Completed
[ 2026-03-26 16:41:56,599 ] 56 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-03-26 16:41:56,599 ] 58 root - INFO - Starting data transformation
[ 2026-03-26 16:41:56,704 ] 42 root - INFO - Entered get_data_transformer_object method of DataTransformation class
[ 2026-03-26 16:41:56,705 ] 45 root - INFO - Initialized KNNImputer with params: {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-03-26 16:41:56,730 ] 39 root - INFO - Enter the save object methos & mainutils class
[ 2026-03-26 16:41:56,737 ] 43 root - INFO - Exited saving object
[ 2026-03-26 16:41:56,738 ] 39 root - INFO - Enter the save object methos & mainutils class
[ 2026-03-26 16:41:56,745 ] 43 root - INFO - Exited saving object
[ 2026-03-26 16:41:56,747 ] 34 root - INFO - Data Transformation Started!!
