[ 2026-03-26 23:44:35,716 ] 19 root - INFO - Initiate the Data Ingestion
[ 2026-03-26 23:44:47,514 ] 69 root - INFO - Performed train test split on dataframe!
[ 2026-03-26 23:44:47,514 ] 70 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-03-26 23:44:47,550 ] 77 root - INFO - Exported train & test data!!
[ 2026-03-26 23:44:47,551 ] 23 root - INFO - Data Initiation Completed
[ 2026-03-26 23:44:47,554 ] 27 root - INFO - Initiate the Data Validation
[ 2026-03-26 23:44:47,778 ] 29 root - INFO - Data Validation Completed
[ 2026-03-26 23:44:47,778 ] 56 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-03-26 23:44:47,779 ] 58 root - INFO - Starting data transformation
[ 2026-03-26 23:44:47,842 ] 42 root - INFO - Entered get_data_transformer_object method of DataTransformation class
[ 2026-03-26 23:44:47,842 ] 45 root - INFO - Initialized KNNImputer with params: {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-03-26 23:44:47,857 ] 41 root - INFO - Enter the save object methos & mainutils class
[ 2026-03-26 23:44:47,860 ] 45 root - INFO - Exited saving object
[ 2026-03-26 23:44:47,860 ] 41 root - INFO - Enter the save object methos & mainutils class
[ 2026-03-26 23:44:47,862 ] 45 root - INFO - Exited saving object
[ 2026-03-26 23:44:47,863 ] 36 root - INFO - Data Transformation Started!!
[ 2026-03-26 23:44:47,863 ] 38 root - INFO - Model Training Started!
