[ 2026-03-26 22:59:48,632 ] 19 root - INFO - Initiate the Data Ingestion
[ 2026-03-26 23:00:09,049 ] 69 root - INFO - Performed train test split on dataframe!
[ 2026-03-26 23:00:09,049 ] 70 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-03-26 23:00:09,087 ] 77 root - INFO - Exported train & test data!!
[ 2026-03-26 23:00:09,088 ] 23 root - INFO - Data Initiation Completed
[ 2026-03-26 23:00:09,091 ] 27 root - INFO - Initiate the Data Validation
[ 2026-03-26 23:00:09,320 ] 29 root - INFO - Data Validation Completed
[ 2026-03-26 23:00:09,320 ] 56 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-03-26 23:00:09,321 ] 58 root - INFO - Starting data transformation
[ 2026-03-26 23:00:09,400 ] 42 root - INFO - Entered get_data_transformer_object method of DataTransformation class
[ 2026-03-26 23:00:09,400 ] 45 root - INFO - Initialized KNNImputer with params: {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-03-26 23:00:09,412 ] 41 root - INFO - Enter the save object methos & mainutils class
[ 2026-03-26 23:00:09,414 ] 45 root - INFO - Exited saving object
[ 2026-03-26 23:00:09,414 ] 41 root - INFO - Enter the save object methos & mainutils class
[ 2026-03-26 23:00:09,416 ] 45 root - INFO - Exited saving object
[ 2026-03-26 23:00:09,417 ] 36 root - INFO - Data Transformation Started!!
[ 2026-03-26 23:00:09,417 ] 38 root - INFO - Model Training Started!
