[ 2026-03-26 23:06:01,221 ] 19 root - INFO - Initiate the Data Ingestion
[ 2026-03-26 23:06:52,646 ] 69 root - INFO - Performed train test split on dataframe!
[ 2026-03-26 23:06:52,646 ] 70 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-03-26 23:06:52,683 ] 77 root - INFO - Exported train & test data!!
[ 2026-03-26 23:06:52,684 ] 23 root - INFO - Data Initiation Completed
[ 2026-03-26 23:06:52,688 ] 27 root - INFO - Initiate the Data Validation
[ 2026-03-26 23:06:52,899 ] 29 root - INFO - Data Validation Completed
[ 2026-03-26 23:06:52,900 ] 56 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-03-26 23:06:52,901 ] 58 root - INFO - Starting data transformation
[ 2026-03-26 23:06:53,007 ] 42 root - INFO - Entered get_data_transformer_object method of DataTransformation class
[ 2026-03-26 23:06:53,008 ] 45 root - INFO - Initialized KNNImputer with params: {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-03-26 23:06:53,020 ] 41 root - INFO - Enter the save object methos & mainutils class
[ 2026-03-26 23:06:53,023 ] 45 root - INFO - Exited saving object
[ 2026-03-26 23:06:53,023 ] 41 root - INFO - Enter the save object methos & mainutils class
[ 2026-03-26 23:06:53,025 ] 45 root - INFO - Exited saving object
[ 2026-03-26 23:06:53,026 ] 36 root - INFO - Data Transformation Started!!
[ 2026-03-26 23:06:53,026 ] 38 root - INFO - Model Training Started!
[ 2026-03-26 23:10:43,729 ] 41 root - INFO - Enter the save object methos & mainutils class
[ 2026-03-26 23:10:43,771 ] 45 root - INFO - Exited saving object
[ 2026-03-26 23:10:43,771 ] 113 root - INFO - Model Trainer Artifact: Model_Trainer_Artifact(trained_model_file_path='Artifacts\\03_26_2026_23_06_01\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.98933468765871, precision_score=0.9854309995953056, recall_score=0.9932694268815011), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9762093576526566, precision_score=0.9708201892744479, recall_score=0.981658692185008))
[ 2026-03-26 23:10:43,774 ] 42 root - INFO - Model Training Artifact Created
