[ 2026-03-26 16:39:22,291 ] 17 root - INFO - Initiate the Data Ingestion
[ 2026-03-26 16:39:42,927 ] 69 root - INFO - Performed train test split on dataframe!
[ 2026-03-26 16:39:42,927 ] 70 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-03-26 16:39:42,985 ] 77 root - INFO - Exported train & test data!!
[ 2026-03-26 16:39:42,986 ] 21 root - INFO - Data Initiation Completed
[ 2026-03-26 16:39:42,992 ] 25 root - INFO - Initiate the Data Validation
[ 2026-03-26 16:39:43,317 ] 27 root - INFO - Data Validation Completed
[ 2026-03-26 16:39:43,317 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-03-26 16:39:43,318 ] 65 root - INFO - Starting data transformation
[ 2026-03-26 16:39:43,414 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-03-26 16:39:43,414 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
